area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P001/N01,Titi Tinggi,Titi Tinggi,Kamis Yub,Kamis Bin Yub,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Titi Tinggi,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8665222837c2c0586be
P001/N01,Titi Tinggi,Titi Tinggi,Teh Chai Ann,Teh Chai Ann,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Titi Tinggi,,National Front,Barisan Nasional,MCA,,,,,,,545de8605222837c2c05869e
P001/N01,Titi Tinggi,Titi Tinggi,Teh Seng Chuan,Teh Seng Chuan,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Titi Tinggi,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,536309c319ee29270d8a9e26
P001/N01,Titi Tinggi,Titi Tinggi,Yaacob Man,Yaacob Bin Man,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Titi Tinggi,,Independent,Bebas,,,,,,,,545de8685222837c2c0586cc
P001/N02,Beseri,Beseri,Azamhari Mohamood,Azamhari Bin Mohamood,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Beseri,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8665222837c2c0586be
P001/N02,Beseri,Beseri,Ruzaini Rais,Ruzaini Bin Rais,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Beseri,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P001/N02,Beseri,Beseri,Wan Kharizal Wan Khazim,Wan Kharizal Bin Wan Khazim,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Beseri,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,536309c319ee29270d8a9e26
P001/N03,Chuping,Chuping,Asmaiza Ahmad,Asmaiza Binti Ahmad,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Chuping,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P001/N03,Chuping,Chuping,Mohd Ali Puteh,Mohd Ali Bin Puteh,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Chuping,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8665222837c2c0586be
P001/N03,Chuping,Chuping,Poziyah Hamzah,Poziyah Binti Hamzah,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Chuping,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,536309c319ee29270d8a9e26
P001/N04,Mata Ayer,Mata Ayer,Azhar Omar,Azhar Bin Omar,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Mata Ayer,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,536309c319ee29270d8a9e26
P001/N04,Mata Ayer,Mata Ayer,Mohamad Yahya,Mohamad Yahya,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Mata Ayer,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8665222837c2c0586be
P001/N04,Mata Ayer,Mata Ayer,Siti Berenee Yahaya,Siti Berenee Binti Yahaya,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Mata Ayer,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8605222837c2c05869e
P001/N05,Santan,Santan,Azizan Sulaiman,Azizan Bin Sulaiman,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Santan,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P001/N05,Santan,Santan,Baharuddin Ahmad,Baharuddin Bin Ahmad,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Santan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P001/N05,Santan,Santan,Che Mazlina Che Yob,Che Mazlina Binti Che Yob,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Santan,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,536309c319ee29270d8a9e26
P002/N06,Bintong,Bintong,Abd Jamil Kamis,Abd Bin Jamil Kamis,GE14 Candidate for Perlis Assembly,,GE14 Candidate State Representative for Bintong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
