area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P078/N01,Tanah Rata,Tanah Rata,Chiong Yoke Kong,Chiong Yoke Kong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanah Rata,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P078/N01,Tanah Rata,Tanah Rata,Kumar Silambaran,Kumar A/L Silambaran,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanah Rata,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P078/N01,Tanah Rata,Tanah Rata,Leong Tak Man,Leong Tak Man,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tanah Rata,,National Front,Barisan Nasional,MCA,,,,,,,
P078/N02,Jelai,Jelai,Abdul Karim Nor,Abdul Karim Bin Nor,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jelai,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P078/N02,Jelai,Jelai,Abdul Rasid Mohamed Ali,Abdul Rasid Bin Mohamed Ali,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jelai,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P078/N02,Jelai,Jelai,Mat Nor Ayat,Mat Nor A/L Ayat,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jelai,,Socialist Party of Malaysia,Parti Sosialis Malaysia,PSM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P078/N02,Jelai,Jelai,Wan Rosdy Wan Ismail,Wan Rosdy Bin Wan Ismail,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Jelai,,National Front,Barisan Nasional,UMNO,,,,,,,
P079/N03,Padang Tengku,Padang Tengku,Alias Abd Rahman,Alias Bin Abd Rahman,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Padang Tengku,,People's Justice Party,Parti Keadilan Rakyat,PPBM,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P079/N03,Padang Tengku,Padang Tengku,Mustapa Long,Mustapa Bin Long,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Padang Tengku,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P079/N03,Padang Tengku,Padang Tengku,Roslan Harun,Roslan Bin Harun,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Padang Tengku,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P079/N04,Cheka,Cheka,Lee Ah Wong,Lee Ah Wong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Cheka,,National Front,Barisan Nasional,MCA,,,,,,,
P079/N04,Cheka,Cheka,Rasid Muhamad,Rasid bin Muhamad,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Cheka,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P079/N04,Cheka,Cheka,Saludin Endol,Saludin Bin Endol,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Cheka,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P079/N05,Benta,Benta,Anuar Kassim,Anuar Bin Kassim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Benta,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P079/N05,Benta,Benta,Mohd Soffi Abd Razak,Mohd Soffi Bin Abd Razak,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Benta,,National Front,Barisan Nasional,UMNO,,,,,,,
P079/N05,Benta,Benta,Sabaruddin Mohd Yassim,Sabaruddin bin Mohd Yassim,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Benta,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P080/N06,Batu Talam,Batu Talam,Abd Aziz Mat Kiram,Abd Aziz Bin Mat Kiram,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Batu Talam,,National Front,Barisan Nasional,UMNO,,,,,,,
P080/N06,Batu Talam,Batu Talam,Dasimah Zainuddin,Dasimah binti Zainuddin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Batu Talam,,People's Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P080/N06,Batu Talam,Batu Talam,Tengku Abdul Rahman Tengku Ja'afar,Tengku Abdul Rahman Bin Tengku Ja'afar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Batu Talam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P080/N07,Tras,Tras,Chin Choy Hee,Chin Choy Hee,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tras,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P080/N07,Tras,Tras,Chow Yu Hui,Chow Yu Hui,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tras,,People's Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
P080/N07,Tras,Tras,Ng Leap Pong,Ng Leap Pong,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Tras,,National Front,Barisan Nasional,MCA,,,,,,,
P080/N08,Dong,Dong,Bedu Rahim Ismail,Bedu Rahim Bin Ismail,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Dong,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P080/N08,Dong,Dong,Hamzah Jaafar,Hamzah Bin Jaafar,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Dong,,People's Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P080/N08,Dong,Dong,Shahiruddin Ab Moin,Shahiruddin Bin Ab Moin,GE14 Candidate for Pahang Assembly,,GE14 Candidate State Representative for Dong,,National Front,Barisan Nasional,UMNO,,,,,,,
