area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P004/N01,Ayer Hangat,Ayer Hangat,Azlina Azinan,Azlina Binti Azinan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Ayer Hangat,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P004/N01,Ayer Hangat,Ayer Hangat,Juhari Bulat,Juhari Bin Bulat,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Ayer Hangat,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P004/N01,Ayer Hangat,Ayer Hangat,Mohd Rawi Abd Hamid,Mohd Rawi Bin Abd Hamid,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Ayer Hangat,,National Front,Barisan Nasional,UMNO,,,,,,,
P004/N02,Kuah,Kuah,Mazlan Ahmad,Mazlan Bin Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuah,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P004/N02,Kuah,Kuah,Mohamad Ratu Mansor,Mohamad Ratu Bin Mansor,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuah,,Independent,Bebas,,,,,,,,
P004/N02,Kuah,Kuah,Mohd Firdaus Ahmad,Mohd Firdaus Bin Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuah,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P004/N02,Kuah,Kuah,Nor Said Nanyan,Nor Saidi Bin Nanyan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuah,,National Front,Barisan Nasional,UMNO,,,,,,,
P005/N03,Kota Siputeh,Kota Siputeh,Ahmad Azhar Abdullah,Ahmad Azhar Bin Abdullah,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Siputeh,,National Front,Barisan Nasional,UMNO,,,,,,,
P005/N03,Kota Siputeh,Kota Siputeh,Mat Rejab Md Akhir,Mat Rejab Md Akhir,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Siputeh,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P005/N03,Kota Siputeh,Kota Siputeh,Salmee Said,Salmee Binti Said,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kota Siputeh,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P005/N04,Ayer Hitam,Ayer Hitam,Azhar Ibrahim,Azhar Bin Ibrahim,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Ayer Hitam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P006/N05,Bukit Kayu Hitam,Bukit Kayu Hitam,Ahmad Zaini Japar,Ahmad Zaini Bin Japar,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Kayu Hitam,,National Front,Barisan Nasional,UMNO,,,,,,,
P006/N05,Bukit Kayu Hitam,Bukit Kayu Hitam,Habshah Bakar,Habshah Bakar,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Kayu Hitam,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P006/N05,Bukit Kayu Hitam,Bukit Kayu Hitam,Halimaton Shaadiah Saad,Halimaton Shaadiah Binti Said,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Kayu Hitam,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P006/N06,Jitra,Jitra,Aminuddin Omar,Aminuddin Bin Omar,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jitra,,National Front,Barisan Nasional,UMNO,,,,,,,
P006/N06,Jitra,Jitra,Mukhriz Mahathir,Mukhriz Bin Mahathir,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jitra,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P006/N06,Jitra,Jitra,Zulhazmi Osman,Zulhazmi Bin Osman,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Jitra,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P007/N07,Kuala Nerang,Kuala Nerang,Badrol Hisham Hashim,Badrol Hisham Bin Hashim,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Nerang,,National Front,Barisan Nasional,UMNO,,,,,,,
P007/N07,Kuala Nerang,Kuala Nerang,Mohamad Yusoff Zakaria,Mohamad Yusoff Bin Zakaria,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Nerang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P007/N07,Kuala Nerang,Kuala Nerang,Syed Fadzil Syed Embun,Syed Fadzil Bin Syed Embun,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Kuala Nerang,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P007/N08,Pedu,Pedu,Hashim Idris,Hashim Bin Idris,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pedu,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P007/N08,Pedu,Pedu,Kama Noriah Ibrahim,Kama Noriah Binti Ibrahim,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pedu,,National Front,Barisan Nasional,UMNO,,,,,,,
P007/N08,Pedu,Pedu,Mohd Radzi Md Amin,Mohd Radzi Bin Md Amin,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Pedu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P008/N09,Bukit Lada,Bukit Lada,Ariffin Man,Ariffin Bin Man,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Lada,,National Front,Barisan Nasional,UMNO,,,,,,,
P008/N09,Bukit Lada,Bukit Lada,Mohd Aizad Roslan,Mohd Aizad Bin Roslan,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Lada,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P008/N09,Bukit Lada,Bukit Lada,Mohd Ismail Othman,Mohd Ismail Bin Othman,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Lada,,Independent,Bebas,,,,,,,,
P008/N09,Bukit Lada,Bukit Lada,Salim Mahmood,Salim Bin Mahmood,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Lada,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P008/N10,Bukit Pinang,Bukit Pinang,Che Mat Dzaher Ahmad,Che Mat Dzaher Bin Ahmad,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Pinang,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P008/N10,Bukit Pinang,Bukit Pinang,Mohammad Nawar Ariffin,Mohammad Nawar BIn Ariffin,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Pinang,,National Front,Barisan Nasional,UMNO,,,,,,,
P008/N10,Bukit Pinang,Bukit Pinang,Romani Wan Salin,Romani Bin Wan Salin,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Bukit Pinang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P008/N11,Derga,Derga,Cheah Soon Hai,Cheah Soon Hai,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Derga,,National Front,Barisan Nasional,GERAKAN,,,,,,,
P008/N11,Derga,Derga,Tan Kok Yew,Tan Kok Yew,GE14 Candidate for Kedah Assembly,,GE14 Candidate State Representative for Derga,,People’s Justice Party,Parti Keadilan Rakyat,DAP,,,,,,,
