area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P019/N01,Pengkalan Kubor,Pengkalan Kubor,Mat Razi Mat Ail,Mat Razi Bin Mat Ail,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Kubor,,National Front,Barisan Nasional,UMNO,,,,,,,
P019/N01,Pengkalan Kubor,Pengkalan Kubor,Wan Rosdi Mat Rasik,Wan Rosdi Bin Mat Rasik,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Kubor,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P019/N01,Pengkalan Kubor,Pengkalan Kubor,Wan Roslan Wan Hamat,Wan Roslan BIn Wan Hamat,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pengkalan Kubor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P019/N02,Kelaboran,Kelaboran,Hashim Mohamad,Hashim Bin Mohamad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kelaboran,,National Front,Barisan Nasional,UMNO,,,,,,,
P019/N02,Kelaboran,Kelaboran,Mohd Adanan Hassan,Mohd Adanan Bin Hassan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kelaboran,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P019/N02,Kelaboran,Kelaboran,Nik Faizah Nik Othman,Nik Faizah Binti Nik Othman,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kelaboran,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P019/N03,Pasir Pekan,Pasir Pekan,Ahmad Yakob,Ahmad Bin Yakob,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pasir Pekan,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P019/N03,Pasir Pekan,Pasir Pekan,Wan Mohd Johari Wan Omar,Wan Mohd Johari BIn Wan Omar,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pasir Pekan,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P019/N03,Pasir Pekan,Pasir Pekan,Wan Mohd Sanusi Wan Yunus,Wan Mohd Sanusi Bin Wan Yunus,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Pasir Pekan,,National Front,Barisan Nasional,UMNO,,,,,,,
P019/N04,Wakaf Bharu,Wakaf Bharu,Mohd Khir Zahri Abdul Ghani,Mohd Khir Zahri Bin Abdul Ghani,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Wakaf Bharu,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P019/N04,Wakaf Bharu,Wakaf Bharu,Mohd Rosdi Ab Aziz,Mohd Rosdi Bin Ab Aziz,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Wakaf Bharu,,National Front,Barisan Nasional,UMNO,,,,,,,
P019/N04,Wakaf Bharu,Wakaf Bharu,Mohd Rusli Abdullah,Mohd Rusli Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Wakaf Bharu,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P020/N05,Kijang,Kijang,Izani Husin,Izani Bin Husin,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kijang,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P020/N05,Kijang,Kijang,NIk Azmi Nik Man @ NIk Osman,NIk Azmi Bin Nik Man @ NIk Osman,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kijang,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P020/N05,Kijang,Kijang,Wan Shahrul Azuan Wan Ab Aziz,Wan Shahrul Azuan Bin Wan Ab Aziz,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kijang,,National Front,Barisan Nasional,UMNO,,,,,,,
P020/N06,Chempaka,Chempaka,Ahmad Fathan Mahmood @ Mahamad,Ahmad Fathan Bin Mahmood @ Mahamad,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chempaka,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P020/N06,Chempaka,Chempaka,Mohamed Fareez Noor Amran,Mohamed Fareez BIn Noor Amran,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chempaka,,National Front,Barisan Nasional,UMNO,,,,,,,
P020/N06,Chempaka,Chempaka,Nik Omar Nik Ab Aziz,Nik Omar Bin Nik Ab Aziz,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Chempaka,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P020/N07,Panchor,Panchor,Mohd Amar Abdullah,Mohd Amar Bin Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Panchor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P020/N07,Panchor,Panchor,Mohd Zulhazmi Hassan,Mohd Zulhazmi Bin Hassan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Panchor,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P020/N07,Panchor,Panchor,Zarina Md Eusope,Zarina Binti Md Eusope,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Panchor,,National Front,Barisan Nasional,UMNO,,,,,,,
P021/N08,Tanjong Mas,Tanjong Mas,Hafidzah Mustakim,Hafidzah BInti Mustakim,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tanjong Mas,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P021/N08,Tanjong Mas,Tanjong Mas,Madihah Ab Aziz,Madihah Binti Ab Aziz,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tanjong Mas,,National Front,Barisan Nasional,UMNO,,,,,,,
P021/N08,Tanjong Mas,Tanjong Mas,Rohani Ibrahim,Rohani Binti Ibrahim,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Tanjong Mas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P021/N09,Kota Lama,Kota Lama,Ab Rashid Ab Rahman,Ab Rashid Bin Ab Rahman,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kota Lama,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P021/N09,Kota Lama,Kota Lama,Chua Hock Kuan,Chua Hock Kuan,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kota Lama,,National Front,Barisan Nasional,MCA,,,,,,,
P021/N09,Kota Lama,Kota Lama,Izat Bukhary Ismail Bukhary,Izat Bukhary Bin Ismail Bukhary,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kota Lama,,Independent,Bebas,,,,,,,,
P021/N09,Kota Lama,Kota Lama,Khairul Nizam Abd Ghani,Khairul Nizam Bin Abd Ghani,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kota Lama,,Socialist Party of Malaysia,Parti Sosialis Malaysia,PSM,,,,,,,
P021/N09,Kota Lama,Kota Lama,Tan Teng Loon @ Anuar Tan Abdullah,Tan Teng Loon @ Anuar Tan Abdullah,GE14 Candidate for Kelantan Assembly,,GE14 Candidate State Representative for Kota Lama,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
