area_identifier,area_name_en,area_name_ms,person_name_en,person_name_sl,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P033/N01,Kuala Besut,Kuala Besut,Azbi Salleh,Azbi BIn Salleh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Besut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P033/N01,Kuala Besut,Kuala Besut,Che Ku Hashim Che Ku Mat,Che Ku Hashim BIn Che Ku Mat,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Besut,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P033/N01,Kuala Besut,Kuala Besut,Tengku Zaihan Che Ku Abd Rahman,Tengku Zaihan Bin Che Ku Abd Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kuala Besut,,National Front,Barisan Nasional,UMNO,,,,,,,
P033/N02,Kota Putera,Kota Putera,Mohd Mahdi Musa,Mohd Mahdi BIn Musa,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kota Putera,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P033/N02,Kota Putera,Kota Putera,Mohd Nurkhuzaini Ab Rahman,Mohd Nurkhuzaini BIn Ab Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kota Putera,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P033/N02,Kota Putera,Kota Putera,Tengku Roslan Tengku Othman @ Tengku Ramli,Tengku Roslan Bin Tengku Othman @ Tengku Ramli,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Kota Putera,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P033/N03,Jertih,Jertih,Kamaruzaman Wan Su,Kamaruzaman BIn Wan Su,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jertih,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P033/N03,Jertih,Jertih,Muhammad Pehimi Yusof,Muhammad Pehimi BIn Yusof,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jertih,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P033/N03,Jertih,Jertih,Wan Azhar Wan Ahmad,Wan Azhar Bin Wan Ahmad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jertih,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P033/N04,Hulu Besut,Hulu Besut,Ismail Abdul Kadir,Ismail Bin Abdul Kadir,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Hulu Besut,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P033/N04,Hulu Besut,Hulu Besut,Mat Daik Mohamad,Mat Daik Bin Mohamad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Hulu Besut,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P033/N04,Hulu Besut,Hulu Besut,Nawi Mohamad,Nawi BIn Mohamad,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Hulu Besut,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N05,Jabi,Jabi,Abd Rahman @ Abdul Aziz Abas,Abd Rahman @ Abdul Aziz Bin Abas,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jabi,,People’s Justice Party,Parti Keadilan Rakyat,AMANAH,,,,,,,
P034/N05,Jabi,Jabi,Azmin Ibrahim,Azmin Bin Ibrahim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jabi,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P034/N05,Jabi,Jabi,Mohd Iskandar Jaafar,Mohd Iskandar Bin Jaafar,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Jabi,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N06,Permaisuri,Permaisuri,Abd Halim Jusoh,Abd Halim Bin Jusoh,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Permaisuri,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N06,Permaisuri,Permaisuri,Wan Mokthar Wan Ibrahim,Wan Mokthar Bin Wan Ibrahim,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Permaisuri,,People’s Justice Party,Parti Keadilan Rakyat,PKR,,,,,,,
P034/N06,Permaisuri,Permaisuri,Zul Bhari A Rahman,Zul Bhari Bin A Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Permaisuri,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P034/N07,Langkap,Langkap,Azmi Maarof,Azmi Bin Maarof,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Langkap,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,
P034/N07,Langkap,Langkap,Mustaffa Abdullah,Mustaffa Bin Abdullah,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Langkap,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P034/N07,Langkap,Langkap,Sabri Mohd Noor,Sabri Bin Mohd Noor,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Langkap,,National Front,Barisan Nasional,UMNO,,,,,,,
P034/N08,Batu Rakit,Batu Rakit,Amir Long,Amir Bin Long,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Rakit,,People’s Justice Party,Parti Keadilan Rakyat,PPBM,,,,,,,
P034/N08,Batu Rakit,Batu Rakit,Bazlan Abd Rahman,Bazlan Bin Abd Rahman,GE14 Candidate for Terengganu Assembly,,GE14 Candidate State Representative for Batu Rakit,,National Front,Barisan Nasional,UMNO,,,,,,,
