area_identifier,area_name_en,area_name_ms,person_name_en,person_name_ms,post_role_en,post_role_ms,post_label_en,post_label_ms,on_behalf_of_name_en,on_behalf_of_name_ms,actual_party,start_date,end_date,person_id,membership_id,post_id,area_id,on_behalf_of_id
P167/N01,Banggi,Banggi,Abd Mijul Unaini,Abd Mijul bin Unaini,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,National Front,Barisan Nasional,UMNO,,,Autofilled,Autofilled,Autofilled,Autofilled,545de8605222837c2c05869e
P167/N01,Banggi,Banggi,Abidula Amsana,Abidula bin Amsana,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,Sabah People's Hope Party,Parti Harapan Rakyat Sabah,HR,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P167/N01,Banggi,Banggi,Abdul Nasir Jamaluddin,Abdul Nasir bin Jamaluddin,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,Parti Kebangsaan Sabah,Parti Kebangsaan Sabah,PKS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P167/N01,Banggi,Banggi,Kusugan Ali,Kusugan bin Ali,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,Sabah People's Unity Party,Parti Perpaduan Rakyat Sabah,PPRS,,,Autofilled,Autofilled,Autofilled,Autofilled,Autofilled
P167/N01,Banggi,Banggi,Norlaji Amir Hassan,Norlaji bin Amir Hassan,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,Homeland Solidarity Party,Parti Solidariti Tanah Airku,SOLIDARITI,,,,,,,fc5e41d58c544584880373aadaa6f494
P167/N01,Banggi,Banggi,Mohammad Mohamarin,Mohammad bin Mohamarin,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Banggi,,Sabah Heritage Party,Parti Warisan Sabah,WARISAN,,,,,,,
P167/N02,Tanjong Kapor,Tanjong Kapor,Teo Chee Kang,Teo Chee Kang,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Tanjong Kapor,,National Front,Barisan Nasional,LDP,,,,,,,545de8605222837c2c05869e
P167/N02,Tanjong Kapor,Tanjong Kapor,Aliasgar Omolong,Aliasgar bin Omolong,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Tanjong Kapor,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P167/N02,Tanjong Kapor,Tanjong Kapor,Thomas Tsen,Tsen Chou Yin@ Thomas Tsen Chau Yin,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Tanjong Kapor,,Love Sabah Party,Parti Cinta Sabah,PCS,,,,,,,dd1a7e65fb264f2aa9e4ea701a118796
P167/N02,Tanjong Kapor,Tanjong Kapor,Allaidly Poyon,Allaidly binti Poyon,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Tanjong Kapor,,Sabah People's Unity Party,Parti Perpaduan Rakyat Sabah,PPRS,,,,,,,
P167/N02,Tanjong Kapor,Tanjong Kapor,Chong Chen Bin,Chong Chen Bin,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Tanjong Kapor,,Sabah Heritage Party,Parti Warisan Sabah,WARISAN,,,,,,,
P167/N03,Pitas,Pitas,Bolkiah Ismail,Bolkiah bin Ismail,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,National Front,Barisan Nasional,UMNO,,,,,,,545de8605222837c2c05869e
P167/N03,Pitas,Pitas,Pransol Tiying,Pransol Tiying,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,Parti Kerjasama Anak Negeri,Parti Kerjasama Anak Negeri,ANAKNEGERI,,,,,,,
P167/N03,Pitas,Pitas,Bakir Mancaing,Bakir bin Mancaing,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,Sabah People's Hope Party,Parti Harapan Rakyat Sabah,HR,,,,,,,
P167/N03,Pitas,Pitas,Dausieh Queck @ Paraman,Dausieh binti Queck @ Paraman,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,Malaysian Islamic Party,Parti Islam Se-Malaysia,PAS,,,,,,,545de8665222837c2c0586be
P167/N03,Pitas,Pitas,Ramlah Nasir,Ramlah binti Nasir,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,Parti Kebangsaan Sabah,Parti Kebangsaan Sabah,PKS,,,,,,,
P167/N03,Pitas,Pitas,Maklin Masiau,Maklin bin Masiau,GE14 Candidate for Sabah State Assembly,,GE14 Candidate State Representative for Pitas,,Sabah Heritage Party,Parti Warisan Sabah,WARISAN,,,,,,,
